some_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,dist
2000,5,5,1,1,5,4,7,8,10,4,4,10,5,8,7,4,7,5,3,6,8,5,7,10,11,12,11,14,16,18,10,18,10,18,14,10,18,20,16,12,17,14,26,12,15,10,13,16,24,34,16,20,28,27,30,36,34,28,33,32,38,32,42,36,31,37,39,35,39,43,49,38,45,47,44,42,53,49,54,51,52,67,48,69,53,58,64,54,66,62,62,61,69,70,77,69,64,68,74,74,43,0
2001,1,8,3,4,4,2,3,7,7,7,12,7,4,7,13,5,11,10,4,11,9,14,17,9,11,11,16,14,14,7,11,8,18,20,12,16,18,16,17,16,22,26,13,23,25,29,22,21,26,22,32,29,25,24,27,24,40,44,35,30,30,42,35,41,41,41,40,32,29,43,42,33,29,49,44,45,52,46,54,63,48,48,38,58,70,63,60,59,62,49,57,61,76,47,74,70,65,63,54,68,36,0
2002,0,0,0,0,1,1,0,3,2,2,6,4,4,8,1,2,6,5,1,5,8,7,14,17,15,18,13,13,15,13,14,22,22,14,18,20,14,24,21,23,26,28,29,27,23,22,39,24,28,26,38,27,39,39,38,35,35,41,41,35,43,25,49,36,45,27,39,54,51,60,49,51,39,44,49,45,45,54,46,48,46,52,57,45,54,56,59,53,40,56,41,52,49,63,55,64,48,69,50,44,32,0
2003,0,12,3,12,10,14,16,10,18,7,13,15,26,20,26,17,25,16,19,22,29,22,24,22,24,27,20,20,20,28,30,29,32,38,25,29,21,23,32,27,32,20,46,21,31,37,31,30,42,32,37,26,33,32,37,33,35,35,39,29,42,30,41,40,33,33,31,39,38,46,35,38,39,31,39,36,48,38,43,40,43,33,32,43,45,25,40,38,46,37,37,27,33,30,47,33,36,40,42,33,19,1
2004,0,2,3,4,4,5,4,2,10,8,3,3,2,7,6,3,3,3,5,7,5,7,7,6,6,9,10,10,9,17,14,11,5,9,13,10,13,15,12,13,18,21,19,15,17,17,23,16,28,15,19,24,21,26,17,24,23,34,15,31,36,26,29,33,29,26,43,35,26,31,44,42,36,63,50,48,47,39,48,56,49,58,63,56,71,74,68,54,62,74,76,86,74,75,69,84,77,91,99,98,47,0
2005,0,5,3,6,7,3,4,6,8,3,8,6,6,13,10,10,15,11,13,16,9,11,14,17,14,24,29,17,23,17,19,24,25,26,19,39,27,32,23,26,29,25,36,26,22,30,35,34,33,40,34,26,36,36,41,32,42,44,42,41,28,32,25,34,45,44,38,48,41,35,46,40,39,37,33,45,45,39,40,47,52,47,41,53,40,45,43,37,46,37,45,47,46,55,52,46,43,48,45,48,31,0
2006,0,2,9,6,12,6,6,14,18,10,13,16,12,14,18,21,19,17,21,25,22,14,24,22,28,27,18,20,13,18,30,30,26,31,32,21,26,29,29,26,36,32,35,28,30,35,33,33,30,32,33,34,22,31,31,42,38,28,23,37,39,36,43,31,38,39,33,37,41,38,32,40,46,39,40,43,38,39,41,44,34,40,36,40,32,46,41,37,49,44,51,37,40,37,33,44,46,45,41,43,19,1
2007,0,0,4,1,2,2,4,3,5,8,4,4,5,3,2,7,6,8,10,10,14,9,14,13,13,10,16,10,16,9,19,25,15,25,18,9,27,16,21,27,22,40,24,32,24,26,24,21,29,27,26,28,32,31,37,21,35,44,31,27,35,39,38,38,29,41,44,36,51,46,34,56,39,43,40,44,59,38,48,45,37,47,50,49,58,51,44,46,46,64,67,48,66,59,67,75,60,58,68,70,32,1
2008,0,0,0,0,0,0,1,1,2,2,2,4,2,3,3,7,6,6,5,9,8,12,8,10,18,11,20,15,17,20,12,17,16,24,12,22,23,28,23,30,18,24,15,33,24,31,39,33,48,34,33,28,29,32,45,38,38,38,40,38,41,46,40,32,50,39,45,33,40,48,41,37,40,49,51,47,56,42,36,54,48,50,62,63,47,57,60,57,45,46,49,45,51,59,45,56,52,63,53,46,22,0
2009,6,17,27,26,16,25,24,15,15,23,23,20,26,24,25,22,18,22,22,19,19,21,22,22,26,33,26,29,36,25,34,23,29,35,24,33,31,34,30,26,36,20,33,24,26,24,27,35,25,28,29,36,23,40,28,38,31,29,22,35,27,22,34,32,34,24,27,37,37,27,39,41,21,36,33,27,33,28,37,33,35,50,44,40,37,30,33,46,42,40,36,25,33,34,40,37,46,60,32,53,16,0
2010,0,0,0,3,2,2,1,2,2,5,5,7,3,3,10,5,8,9,5,9,10,8,5,12,16,13,12,13,9,20,19,21,18,13,15,19,24,20,23,15,29,26,19,27,22,23,22,24,18,28,26,32,19,32,41,31,25,48,33,37,40,41,29,42,34,39,43,38,44,31,46,34,32,45,42,45,53,57,66,55,41,59,43,62,43,74,63,45,63,57,57,54,64,65,47,62,69,61,69,72,26,1
2011,1,8,6,5,6,2,5,7,8,8,5,2,7,6,10,5,10,8,9,6,4,11,9,16,11,13,10,8,19,11,9,15,12,11,16,19,16,12,12,11,25,17,18,32,20,31,25,25,26,28,35,20,16,34,30,27,24,31,28,29,33,27,35,41,37,43,53,39,33,35,44,51,41,43,52,48,51,51,49,48,43,60,30,62,56,59,68,60,46,55,60,57,63,68,75,70,63,79,66,76,40,0
2012,0,2,2,0,3,9,5,5,3,8,9,5,6,7,3,12,8,10,11,12,15,7,13,14,17,16,17,23,18,26,24,19,22,28,29,22,21,26,23,30,30,30,24,31,33,28,32,29,27,23,30,42,29,39,36,35,39,36,37,32,35,39,34,33,42,42,40,31,34,47,39,43,50,50,42,52,49,39,49,46,38,37,46,46,52,48,49,58,48,45,55,44,51,44,60,58,51,62,44,39,17,0
2013,1,0,1,0,6,2,2,3,3,4,4,7,6,4,9,10,15,7,9,10,10,12,13,11,14,15,19,20,18,16,14,24,23,20,20,17,22,24,20,24,25,19,28,30,19,26,32,26,31,37,39,25,33,30,33,31,29,36,33,44,43,40,47,43,37,29,42,43,42,40,38,45,52,34,48,41,53,52,44,40,63,57,38,50,55,45,39,55,58,48,42,67,48,64,55,51,56,57,51,52,31,1
2014,3,11,8,13,13,19,10,16,15,12,22,19,17,15,12,14,21,21,20,15,13,22,16,14,20,17,10,23,22,18,10,16,23,26,24,24,22,26,26,19,24,18,29,29,24,30,23,23,30,27,37,34,22,28,38,31,34,38,30,31,37,45,39,34,41,25,50,33,41,40,36,31,47,42,37,52,42,35,45,31,34,52,43,56,49,47,40,41,47,47,48,41,50,35,59,42,46,48,49,57,19,0
2015,0,0,0,0,0,0,2,0,0,0,0,1,2,2,1,2,0,4,3,3,2,3,4,7,5,6,6,6,12,7,15,11,18,21,19,14,27,16,23,27,15,23,17,20,19,20,25,30,30,20,31,25,22,41,31,34,34,41,44,43,49,31,49,37,35,36,50,42,40,33,48,66,35,49,47,58,48,55,44,50,54,55,52,78,62,61,65,67,59,69,46,60,78,61,49,57,55,74,63,75,24,0
2016,2,10,6,11,13,14,13,14,12,15,15,12,17,9,18,19,7,20,20,12,17,17,17,14,16,22,27,20,23,24,12,14,16,24,33,25,34,26,28,31,27,19,28,28,28,35,28,27,34,29,27,29,26,24,40,28,23,35,39,44,33,36,39,31,35,41,50,36,34,36,33,38,39,43,42,33,41,32,33,42,44,42,57,46,40,55,41,32,52,55,53,53,46,47,50,55,50,40,44,30,24,0
2017,5,10,9,21,16,16,14,19,21,10,14,16,15,14,12,13,12,18,17,19,16,15,20,19,14,17,20,14,16,27,21,22,26,16,23,17,28,22,19,15,28,31,33,26,27,27,25,26,31,26,29,32,32,28,29,30,31,34,32,42,33,44,37,33,28,26,28,39,35,34,39,31,40,49,50,46,50,41,32,44,40,45,50,40,44,49,35,44,48,46,54,44,43,50,45,57,52,55,44,53,26,0
2018,1,2,3,1,6,7,3,8,6,5,6,7,4,10,8,12,7,3,13,11,17,12,13,17,15,10,19,22,23,17,19,28,18,29,23,18,27,33,35,18,30,28,30,31,40,20,22,28,31,30,35,27,32,39,27,29,33,38,38,38,33,35,32,45,40,45,40,35,54,47,45,44,29,43,43,46,38,42,55,50,43,36,52,46,63,51,47,50,56,46,44,59,48,48,54,36,45,48,48,48,29,0
2019,1,0,0,1,4,4,1,2,3,5,6,2,4,6,3,7,5,9,6,7,5,5,6,5,5,4,8,2,5,9,5,6,12,8,6,7,14,18,18,17,20,19,9,8,14,18,21,15,9,30,25,29,25,18,25,19,26,26,30,35,25,27,33,34,36,34,25,29,42,48,45,51,49,34,42,53,62,52,48,56,65,60,61,74,68,60,56,63,85,73,78,69,88,74,82,77,79,91,83,85,42,0
2020,3,6,4,10,8,9,5,12,4,9,14,14,7,8,9,13,14,5,9,14,12,9,16,13,17,14,14,8,15,17,14,13,16,20,20,16,19,17,17,21,22,14,17,25,27,26,27,26,30,28,26,31,28,34,39,32,37,33,38,35,40,28,40,38,41,52,37,38,56,42,54,58,29,40,46,48,39,42,45,46,52,44,43,54,48,47,68,37,63,51,50,59,57,52,57,55,49,52,53,63,27,0
2021,0,2,1,2,3,1,2,0,3,4,4,0,1,3,3,7,4,7,6,3,9,8,14,14,10,15,17,11,19,22,14,19,19,25,22,21,17,14,23,18,29,26,18,22,26,32,26,31,37,22,25,32,37,38,37,36,39,46,41,38,46,43,29,45,41,43,48,42,54,42,44,37,39,46,34,37,56,46,45,55,50,52,48,54,51,40,54,40,63,62,48,58,55,55,54,60,59,50,51,63,36,0
2022,0,0,0,1,0,0,0,1,0,2,0,2,1,1,4,2,6,3,4,6,9,6,9,10,8,6,7,13,12,12,17,19,11,12,23,19,24,14,14,19,13,24,20,26,30,22,28,33,19,30,26,31,32,30,32,34,39,43,33,42,37,40,47,38,47,39,36,43,49,51,52,42,36,50,48,62,51,65,53,47,51,48,38,60,53,50,61,62,67,56,78,56,65,63,53,50,55,66,61,60,30,0
2023,5,4,10,5,8,4,1,8,11,10,9,6,4,7,7,12,10,19,11,15,9,7,17,12,13,15,8,12,20,12,12,17,13,23,16,21,22,22,20,16,24,25,31,23,22,27,17,25,28,32,27,27,19,30,24,22,26,34,36,32,43,34,33,39,38,37,39,37,38,42,32,51,41,45,36,56,54,49,56,47,45,61,49,61,52,57,47,49,55,59,66,57,62,44,57,54,49,80,64,57,24,0
2024,2,13,15,15,29,24,27,26,32,16,23,32,28,20,19,23,29,27,34,29,17,22,31,24,26,34,34,34,25,31,25,27,35,27,24,29,25,30,28,32,27,39,26,25,36,25,25,33,26,26,35,33,20,38,39,33,32,38,34,29,24,34,32,31,35,24,26,29,40,26,33,40,33,34,35,38,35,25,33,34,31,32,39,36,36,25,38,30,44,50,26,39,37,43,28,34,31,34,32,35,17,1
2025,2,6,14,4,8,5,7,8,15,9,7,15,11,15,16,12,12,18,16,14,14,21,23,22,33,22,17,17,17,25,21,21,26,19,27,24,25,30,24,29,38,27,25,29,44,23,32,25,32,32,32,32,50,33,29,40,37,41,39,40,33,44,41,53,45,29,47,33,33,45,49,48,51,28,35,46,50,34,34,39,44,52,35,32,40,39,41,36,45,37,44,55,44,43,35,38,38,39,39,35,21,0
2026,9,16,16,20,15,16,15,14,20,13,19,14,18,26,22,23,14,28,25,19,23,22,22,14,34,21,23,18,24,26,25,18,28,22,29,19,23,20,27,31,25,28,31,30,26,25,31,34,18,33,25,30,38,31,33,27,30,27,23,38,32,29,27,28,38,45,38,27,31,34,36,23,40,36,29,41,35,46,49,39,41,33,44,35,36,29,42,37,42,50,49,49,42,44,40,41,52,53,50,51,23,0
2027,0,2,0,0,1,0,3,2,2,3,1,3,1,1,5,6,4,3,4,7,10,14,12,13,14,21,13,15,17,12,27,21,25,15,22,23,21,22,34,22,17,23,26,33,24,27,25,27,32,30,30,30,31,32,39,33,43,40,52,25,49,46,57,42,36,46,45,41,51,46,48,51,41,40,38,48,39,43,42,46,61,46,48,43,53,59,47,48,69,41,50,49,41,51,54,53,69,58,49,41,35,0
2028,4,10,8,5,9,12,8,3,13,10,7,4,10,14,9,11,14,9,4,10,15,13,11,19,12,16,11,19,17,20,15,12,16,18,18,17,24,30,16,19,26,23,27,21,32,21,21,36,36,25,26,24,25,25,30,30,36,37,27,43,28,43,34,32,28,35,34,32,38,43,41,41,40,38,38,53,53,46,58,46,56,45,63,51,49,53,50,52,54,53,42,53,50,64,55,56,69,56,51,61,33,0
2029,0,0,0,1,0,3,1,2,2,2,9,7,6,3,7,7,10,13,14,19,12,14,20,15,21,21,18,24,20,16,24,21,24,17,27,23,22,34,24,22,39,27,32,35,26,31,29,39,35,37,29,42,30,38,38,33,41,32,39,34,37,50,38,37,37,28,43,38,41,34,47,43,51,50,42,47,26,40,38,56,39,37,40,48,44,49,47,47,52,51,54,57,46,49,47,48,49,43,44,49,26,0
2030,1,3,6,7,4,2,6,7,6,3,7,9,2,5,4,7,9,8,6,8,10,7,9,12,9,10,8,18,13,10,22,12,7,24,19,19,17,22,10,19,15,21,27,19,25,24,24,25,28,33,24,26,29,29,32,35,28,21,28,31,35,40,41,33,38,34,44,41,40,35,42,45,46,58,44,38,56,40,57,59,46,48,56,60,56,55,53,63,52,63,50,63,69,59,66,57,61,68,68,73,37,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,0,1,3,1,1,3,4,6,2,2,13,12,6,8,9,13,17,10,15,12,10,23,19,16,18,13,21,14,29,22,24,26,22,30,34,31,38,22,34,49,30,35,47,40,39,42,43,56,52,44,48,55,51,58,43,52,57,53,58,61,50,60,53,79,71,62,66,64,69,68,70,72,55,60,76,72,67,80,80,86,33,0
2032,0,2,0,1,3,3,2,4,4,10,3,14,13,11,7,11,6,22,16,14,6,12,14,7,22,16,16,21,20,22,23,14,20,17,13,24,20,17,28,27,21,29,28,23,26,36,26,34,21,27,40,37,30,28,37,37,31,36,39,28,38,38,37,37,39,35,49,33,40,43,41,37,32,45,40,56,42,44,38,49,51,43,57,45,55,57,51,43,44,53,62,55,59,58,47,56,51,44,62,52,23,1
2033,0,0,2,1,0,2,1,5,3,3,1,5,9,6,6,6,7,10,8,5,10,13,9,11,10,9,10,16,21,16,14,18,17,15,23,25,16,25,16,20,20,24,15,21,23,26,29,18,26,29,31,34,33,25,28,35,39,36,34,34,37,34,39,36,46,31,46,42,34,50,34,42,39,38,57,55,57,32,43,52,49,49,54,42,39,65,51,60,40,56,67,61,60,73,67,57,64,72,67,75,34,1
2034,11,14,12,16,18,10,18,13,11,17,19,20,18,22,13,16,18,18,22,13,22,31,19,18,22,20,23,27,25,25,18,20,23,25,30,24,27,27,25,33,26,34,26,32,24,30,27,23,30,25,27,35,34,27,31,37,38,38,28,32,26,44,40,39,27,32,34,40,27,43,38,44,47,54,45,42,37,45,40,41,51,40,39,33,47,43,38,42,41,42,36,27,36,43,42,34,40,44,44,33,13,0
2035,0,1,0,1,1,1,2,5,7,3,6,5,2,5,5,7,8,7,5,4,10,7,18,14,9,8,12,13,15,13,14,27,19,18,24,24,24,22,17,31,19,21,20,17,32,21,33,30,25,30,33,48,31,42,35,43,42,42,37,36,40,33,38,40,41,44,41,36,42,36,44,67,44,48,47,45,32,49,47,50,48,48,57,52,45,36,58,46,52,64,62,55,44,49,53,59,48,55,61,69,24,0
2036,0,0,5,0,2,4,1,6,6,3,6,10,9,11,14,10,11,14,13,12,8,16,15,17,21,21,24,19,21,26,32,18,21,23,31,29,31,25,18,27,34,33,28,24,28,38,35,35,41,39,39,33,34,36,28,39,39,44,37,32,42,43,38,48,46,49,43,33,37,30,40,41,36,43,47,41,45,35,40,44,38,39,46,38,47,48,34,48,54,52,47,50,48,44,40,34,43,37,50,46,20,0
2037,4,3,3,1,1,5,3,6,2,4,1,4,6,7,4,6,4,9,4,9,5,10,6,11,6,12,4,14,11,11,8,10,16,11,15,16,15,11,21,13,16,17,17,12,15,15,19,27,13,23,25,22,21,28,27,30,32,31,31,28,30,26,35,35,27,43,37,43,37,28,44,52,42,42,42,36,46,61,39,70,70,57,64,52,59,60,55,75,68,74,59,58,61,78,72,80,92,78,85,88,39,0
2038,3,4,6,7,5,7,6,10,8,9,10,12,10,10,11,11,9,9,18,11,18,13,16,13,14,14,11,23,12,16,16,17,25,13,20,24,29,24,18,18,17,13,22,30,31,12,26,27,28,31,28,23,30,26,34,38,30,32,30,41,27,25,35,32,39,46,36,40,32,46,47,40,40,34,36,36,39,54,61,47,60,44,59,54,45,50,44,50,54,50,65,49,69,57,49,60,58,54,53,68,37,0
2039,0,0,1,0,2,0,3,1,5,5,1,2,6,3,1,5,6,2,3,10,9,6,7,5,7,8,15,19,17,10,17,20,18,20,26,17,25,21,28,23,23,24,23,28,29,23,31,27,22,25,27,27,44,31,35,46,38,35,39,52,42,49,41,43,46,51,32,42,39,57,46,43,64,48,53,44,41,44,48,43,47,44,53,48,55,66,60,48,60,44,45,56,51,53,57,53,52,60,49,55,25,0
2040,0,0,0,0,0,1,2,4,3,3,5,3,2,6,3,6,8,6,6,7,8,8,10,10,8,13,16,18,20,11,19,14,20,17,27,30,22,32,24,24,30,16,17,27,25,19,33,38,25,28,29,31,34,34,30,34,31,48,52,43,46,44,37,48,42,39,39,48,52,37,43,44,41,41,53,43,43,52,47,40,47,48,46,58,52,62,50,46,57,53,43,66,41,69,61,47,48,48,56,50,33,0
2041,3,4,3,1,5,4,8,5,7,6,5,8,8,6,6,6,8,10,12,15,9,5,6,11,11,13,7,6,10,14,15,11,11,23,20,21,12,21,18,25,12,17,23,12,25,17,21,18,19,24,29,30,29,26,32,42,27,31,26,28,24,24,41,36,39,39,40,45,43,40,52,46,45,56,38,49,51,57,47,41,49,49,61,52,40,56,64,54,68,62,63,72,64,50,71,58,60,73,82,76,36,0
2042,0,0,0,0,1,2,4,3,3,3,4,3,2,1,10,8,12,11,11,14,18,8,8,14,20,13,12,19,15,25,19,21,31,29,32,26,43,23,28,33,27,40,23,29,26,21,36,35,38,33,40,32,36,28,24,38,43,34,35,37,39,48,46,39,38,38,42,36,41,43,47,50,52,40,37,51,32,43,38,49,45,47,43,44,51,56,44,48,57,43,54,36,45,46,34,45,62,56,42,47,22,0
2043,2,6,11,13,8,13,10,14,20,15,19,27,18,20,21,19,29,27,22,16,20,29,26,32,24,21,22,22,24,26,29,17,29,29,28,34,30,48,25,37,19,25,34,30,32,29,36,29,32,32,38,36,32,34,30,23,31,30,28,28,25,39,39,39,39,42,39,29,40,25,30,43,35,47,32,40,40,28,35,27,37,25,41,31,41,42,43,43,36,33,46,49,40,32,33,42,45,45,41,44,8,1
2044,17,16,23,31,21,19,26,22,24,19,24,28,15,19,15,24,27,21,24,21,29,23,23,21,27,30,26,21,29,21,18,25,18,23,26,17,27,26,27,25,20,26,26,31,25,27,35,25,18,35,29,21,23,37,23,26,44,35,37,36,28,28,33,28,35,32,25,28,45,24,39,39,36,25,32,38,41,36,50,40,39,34,43,39,44,34,35,34,40,33,51,33,42,44,41,34,38,44,47,41,31,0
2045,4,5,0,5,4,3,7,2,8,2,5,2,4,7,4,2,7,7,7,2,7,7,8,7,14,7,7,15,8,13,9,10,12,13,15,14,10,12,12,19,17,14,16,21,15,13,23,13,20,28,27,18,28,18,31,29,34,22,35,27,32,28,38,40,55,46,48,42,44,40,33,51,42,46,42,51,53,41,56,43,34,70,55,52,57,61,71,56,68,71,57,67,78,87,67,69,73,70,88,69,54,0
2046,0,0,3,5,2,6,1,6,12,4,10,7,7,7,5,5,10,6,7,10,15,12,13,11,20,17,15,17,20,19,24,23,19,22,25,32,18,30,26,19,24,26,26,30,22,32,25,31,34,24,27,34,23,38,24,29,40,38,43,34,38,41,24,43,36,39,34,38,30,49,34,45,46,43,46,46,40,62,51,45,47,43,42,48,49,63,44,54,44,48,44,53,58,47,69,48,61,44,59,67,24,1
2047,5,8,10,13,7,8,11,8,13,10,7,10,13,9,10,14,17,18,3,9,17,16,17,19,18,16,16,14,8,21,19,11,22,24,11,18,24,20,15,24,13,22,24,25,22,24,28,33,22,24,21,31,28,20,37,25,29,33,32,35,35,25,37,39,32,37,41,42,55,37,43,40,36,29,43,44,42,40,37,55,36,53,42,58,46,50,43,51,52,79,56,68,62,60,68,56,48,53,66,61,22,0
2048,1,8,3,9,8,9,10,16,6,19,17,18,22,10,16,21,20,14,16,30,17,26,24,29,27,23,21,19,25,24,27,14,28,16,34,12,28,18,41,29,22,31,17,24,24,40,26,27,32,26,29,46,34,27,42,22,32,32,36,23,40,28,36,40,38,46,37,35,36,39,42,35,30,36,51,37,27,40,41,37,41,32,43,56,32,38,39,44,42,39,52,42,45,49,52,46,41,44,54,51,20,1
2049,9,24,21,17,25,18,31,23,22,23,21,25,23,16,23,22,34,31,23,24,22,30,23,19,27,32,21,17,26,33,23,32,29,23,20,32,26,21,24,25,31,38,29,26,32,24,21,30,20,31,27,29,28,23,24,29,22,27,39,42,40,39,32,37,33,30,26,36,43,36,28,20,29,33,35,48,37,46,46,32,33,35,38,32,35,21,37,43,43,39,40,39,26,43,33,47,39,40,42,39,18,0
2050,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,4,4,2,4,6,1,3,7,8,9,4,7,11,7,14,6,4,12,9,15,15,21,14,28,26,21,15,22,22,24,23,24,30,23,23,25,26,27,39,32,30,50,38,43,29,41,44,30,45,42,42,39,47,40,47,51,60,44,61,46,56,67,55,48,76,58,55,66,63,64,65,74,67,57,84,60,51,56,65,78,63,77,78,26,0
2051,0,0,0,0,1,2,1,1,2,1,6,2,2,8,2,4,7,2,2,4,8,10,9,10,9,8,7,9,9,9,10,11,11,14,13,17,15,18,13,11,22,16,24,23,19,24,27,23,30,31,22,27,34,27,37,31,24,32,34,46,30,36,25,38,36,34,42,45,41,42,41,44,45,37,45,57,49,63,65,57,58,51,54,53,62,65,62,63,48,71,71,59,55,59,72,56,86,80,89,71,22,1
2052,3,13,23,13,11,12,16,11,21,14,13,16,14,13,15,23,19,9,16,12,17,21,22,23,20,32,30,30,20,24,11,20,14,24,29,24,28,26,28,25,29,24,19,20,16,31,22,24,25,20,37,22,31,33,37,30,24,36,27,27,35,37,27,33,35,37,36,38,48,35,35,36,43,38,39,43,39,30,55,44,39,41,45,54,49,38,33,51,43,43,55,37,48,53,45,56,50,39,54,46,29,0
2053,12,18,21,21,18,20,23,19,21,28,28,26,19,22,23,20,24,24,16,20,27,19,21,14,16,22,18,25,32,26,24,26,23,20,28,23,18,19,24,24,30,24,32,33,22,20,30,31,24,25,39,29,33,21,38,28,38,34,34,33,20,35,31,37,52,24,30,36,36,36,29,32,33,43,35,36,38,36,39,41,40,38,36,39,47,41,38,35,34,36,39,47,37,43,38,39,48,44,40,50,22,0
2054,0,8,3,5,6,4,5,6,5,5,5,6,5,6,5,6,6,8,13,11,11,3,14,13,16,5,12,20,13,13,11,18,12,15,17,19,15,17,18,19,21,15,15,18,16,17,20,27,27,29,22,20,24,27,38,19,36,36,23,31,31,33,35,35,43,35,37,36,32,34,38,39,44,33,38,52,41,68,38,65,56,49,58,62,53,61,60,52,70,62,65,55,79,78,73,57,65,85,78,65,30,0
2055,8,22,14,15,19,14,21,20,20,17,15,14,19,18,17,15,16,27,13,21,26,19,16,25,21,16,27,17,23,19,23,20,27,31,25,23,25,26,19,19,16,30,25,24,27,28,28,30,29,31,20,29,29,30,38,23,39,28,35,16,42,33,36,32,33,33,38,32,35,37,33,47,31,28,45,39,33,28,31,33,41,37,42,54,42,35,44,44,36,46,63,39,49,53,50,48,51,47,50,53,30,0
2056,0,0,0,1,0,0,1,2,3,2,1,3,7,4,4,9,1,5,6,9,5,4,8,6,11,13,19,8,10,14,11,22,14,18,22,12,18,15,22,23,24,21,25,26,21,38,19,33,35,32,25,36,25,34,32,35,41,36,47,43,39,31,46,45,33,39,47,40,37,48,47,58,43,45,50,57,46,54,47,46,43,53,53,69,45,48,48,51,70,51,50,55,52,66,50,68,52,62,67,57,31,0
2057,0,0,0,0,0,2,0,1,0,0,3,4,2,1,5,5,5,5,4,8,8,3,5,13,11,14,6,14,9,15,10,16,20,16,20,18,20,26,15,20,17,33,26,19,34,17,29,17,31,33,23,31,37,28,35,30,41,40,33,52,47,34,39,52,35,43,50,52,56,49,40,40,49,44,43,52,54,41,38,61,49,48,60,49,50,64,43,73,54,52,51,60,61,64,60,58,61,61,48,60,25,0
2058,2,4,4,3,1,4,0,4,4,4,4,4,7,2,4,2,6,5,12,7,4,4,4,9,11,8,10,7,4,9,3,11,11,9,12,11,14,7,10,17,17,18,15,14,18,21,10,16,25,11,21,29,17,38,23,24,26,28,32,30,28,32,26,28,54,38,39,39,28,30,49,38,39,38,52,55,48,64,52,56,61,43,47,67,61,72,72,77,65,91,63,68,61,72,70,77,97,100,83,94,35,0
2059,7,9,11,21,6,11,10,5,11,11,13,8,19,13,8,19,27,12,12,8,19,20,19,12,17,10,13,22,17,23,22,24,15,24,21,20,21,27,28,27,20,17,17,30,22,33,23,31,23,19,28,29,30,31,32,34,26,27,39,37,36,39,29,34,40,43,32,47,39,39,43,38,37,44,43,42,38,45,48,56,60,46,40,38,44,50,40,45,43,52,54,60,61,44,45,51,53,56,42,53,21,0
2060,0,0,1,1,0,0,0,1,2,1,1,2,4,3,1,3,2,6,3,2,3,5,10,7,8,10,13,11,8,7,10,16,15,11,15,20,19,19,12,11,19,24,20,16,24,26,23,31,20,23,23,33,24,34,35,40,36,34,32,46,29,40,33,38,48,52,51,48,41,46,40,42,57,47,59,54,44,52,43,56,59,67,56,55,54,63,48,71,50,66,57,50,63,64,75,59,68,52,57,75,45,0
2061,0,4,10,9,11,15,13,9,13,16,6,16,11,25,19,20,20,8,15,19,31,27,17,25,21,23,19,32,21,17,25,23,21,23,26,26,15,27,20,28,35,33,28,33,30,32,31,32,39,23,28,27,43,33,28,33,46,49,43,46,31,41,32,29,33,34,36,39,39,41,35,33,38,41,49,40,38,47,33,39,52,35,36,44,38,38,28,52,33,39,36,45,42,41,38,49,44,53,30,38,23,1
2062,1,3,5,4,6,1,3,9,7,6,8,6,8,8,4,4,9,4,7,13,9,14,7,9,15,5,10,17,7,18,13,12,6,22,8,10,15,19,18,19,21,11,22,28,16,14,19,28,29,21,35,24,27,37,26,29,21,37,27,35,24,37,38,37,33,32,40,40,47,40,45,43,54,38,48,48,50,46,41,62,44,59,53,55,45,50,77,77,53,53,60,51,59,80,56,71,62,76,89,82,29,0
2063,1,1,1,3,3,3,4,5,3,6,9,7,6,9,10,8,9,10,11,16,19,20,13,15,12,25,11,24,17,15,13,18,23,21,16,26,17,30,28,19,40,32,27,28,31,23,27,34,35,36,40,32,41,32,35,36,29,28,33,43,32,29,40,34,41,45,39,30,40,35,37,51,20,51,38,54,33,39,43,58,49,61,46,55,52,41,66,59,55,38,49,54,55,46,48,50,46,55,38,48,31,0
