Seed	Time	W	E	N	S	NE
+	fall	42.926	94.742	41.91	45.72	84.582
-	fall	18.796	19.812	27.686	20.066	40.386
+	winter	20.574	21.844	60.706	9.144	52.324
-	winter	36.576	51.054	75.184	32.258	102.87
+	winter	62.992	117.094	105.664	54.864	152.4
-	winter	21.336	60.706	70.104	22.098	105.918
-	winter	9.398	34.798	27.432	21.59	87.63
+	winter	9.398	21.336	6.604	11.938	22.86
-	spring	33.782	58.674	64.262	27.432	92.71
+	spring	85.852	141.224	70.104	78.74	128.524
+	spring	17.526	37.084	27.178	16.256	49.53
-	spring	36.068	70.866	36.068	27.432	30.988
+	spring	11.176	26.67	6.096	11.176	23.876
-	spring	19.304	31.496	17.78	17.018	23.876
+	summer	28.702	57.912	24.638	42.164	56.134
-	summer	22.352	40.132	26.924	28.702	37.084
+	summer	4.318	13.97	3.302	6.858	8.89
-	summer	6.35	19.558	2.54	7.62	8.636
-	summer	19.812	36.83	9.652	14.732	17.018
+	summer	10.16	8.636	11.43	10.922	11.176
+	fall	13.208	20.066	10.668	11.938	13.462
-	fall	69.342	53.086	56.896	102.108	64.008
-	fall	22.86	62.23	13.208	33.528	55.372
+	fall	41.148	64.516	23.876	40.386	43.942
-	fall	23.622	53.594	30.226	21.59	58.674
+	fall	16.002	33.274	19.304	18.034	32.512
+	winter	10.668	31.242	3.302	14.986	23.114
-	winter	16.256	10.922	38.1	6.096	29.21
-	winter	7.62	17.526	26.162	5.588	47.752
+	winter	22.352	33.528	47.498	14.732	75.438
-	winter	19.304	31.75	46.99	34.544	55.118
+	winter	31.75	25.4	51.816	18.034	56.388
-	winter	27.432	25.146	36.576	25.4	41.656
+	winter	28.194	20.32	37.084	37.592	10.16
+	spring	87.122	64.77	129.032	44.958	106.68
-	spring	13.716	10.922	16.764	18.542	23.114
+	spring	9.906	11.176	12.446	13.97	12.954
-	spring	64.262	80.772	83.058	68.072	91.44
-	spring	20.574	22.606	33.782	10.922	55.372
+	spring	9.906	30.988	6.35	11.684	22.606
+	summer	21.844	31.496	17.526	12.446	17.526
-	summer	54.864	58.166	53.848	24.13	46.228
-	spring	43.18	55.372	36.83	37.338	55.88
+	spring	30.988	50.8	54.102	28.702	59.182
+	spring	1.778	5.588	0.508	2.032	6.096
-	spring	12.446	27.178	9.144	22.098	14.478
-	spring	18.034	43.942	18.288	25.146	24.892
+	spring	42.418	87.884	25.908	48.006	62.738
-	summer	18.542	38.354	4.572	36.068	18.034
+	summer	45.466	79.502	46.482	46.228	78.994
-	summer	4.826	26.67	2.032	10.16	14.478
+	summer	0	3.81	0	1.016	1.016
+	summer	11.176	22.606	21.082	9.652	17.78
-	summer	7.874	29.21	0.254	11.176	16.764
+	summer	24.384	22.352	67.31	21.59	37.592
-	summer	26.416	30.48	32.258	35.306	30.48
+	fall	1.27	1.524	0.254	5.842	2.54
-	fall	1.016	5.08	8.89	19.05	5.08
+	fall	46.482	74.422	45.72	41.148	76.708
-	fall	56.896	55.118	112.776	26.67	91.186
+	fall	63.5	101.346	72.136	61.976	113.792
-	fall	27.94	43.434	52.07	33.02	102.616
+	fall	46.482	98.298	76.454	42.164	115.824
-	fall	35.814	75.946	65.532	30.734	100.33
-	winter	18.796	34.544	56.388	15.494	68.072
+	winter	27.686	90.424	1.778	57.404	52.832
+	winter	20.066	36.322	41.148	29.464	72.898
-	winter	103.124	170.434	110.236	83.566	162.56
-	winter	10.16	16.256	26.162	14.732	44.958
+	winter	19.304	46.482	38.1	10.414	65.024
+	spring	38.862	91.948	38.608	41.148	72.644
-	spring	14.224	73.152	9.398	31.75	44.196
-	spring	44.196	87.63	54.356	25.4	111.506
+	spring	40.386	81.026	59.944	38.862	76.962
-	spring	48.514	120.396	43.434	51.562	82.296
+	spring	53.086	132.842	53.848	70.358	112.776
-	summer	40.386	99.568	35.052	53.594	76.454
+	summer	16.764	56.388	5.334	35.814	20.32
-	summer	17.272	10.668	12.192	14.986	17.272
+	summer	11.684	27.432	0.254	16.51	12.192
+	summer	5.588	15.748	3.81	3.302	10.668
-	summer	28.194	43.18	33.528	14.478	39.116
+	summer	44.704	30.226	57.404	26.416	32.258
-	summer	130.048	133.35	151.13	100.838	136.398
-	fall	3.048	15.24	4.826	7.112	17.78
+	fall	9.398	16.51	7.874	5.842	21.082
+	fall	126.238	76.962	36.576	79.756	21.844
-	fall	14.478	38.862	7.62	18.288	35.052
+	fall	3.302	13.716	2.794	3.556	14.732
-	fall	62.738	119.38	92.964	46.736	136.144
-	fall	25.654	58.928	28.956	20.574	53.086
+	fall	13.97	28.702	33.02	8.636	62.23
+	winter	6.096	15.494	1.27	9.652	22.86
-	winter	59.944	29.21	46.736	43.942	59.182
+	winter	59.69	108.966	107.696	42.418	139.192
-	winter	56.642	109.22	50.546	48.26	93.218
-	winter	29.464	77.724	61.976	38.608	101.854
+	winter	41.402	84.074	56.134	59.944	82.55
+	winter	27.432	80.518	20.32	57.15	70.866
-	winter	152.4	156.21	239.268	91.44	199.136
+	spring	67.818	176.022	69.596	76.962	162.306
-	spring	9.144	3.81	0	4.826	1.524
+	spring	14.732	35.814	24.384	16.256	31.496
-	spring	34.544	87.122	35.052	47.244	73.914
+	spring	29.718	41.91	30.988	57.912	40.132
-	spring	60.198	49.276	62.484	62.738	60.706
+	spring	0.508	2.032	1.27	0.508	2.286
-	spring	23.368	53.086	15.494	22.098	34.29
